,ReportDt,Unit,Power
0,12/31/2009,Arkansas Nuclear 1,100
1,12/31/2009,Arkansas Nuclear 2,100
2,12/31/2009,Beaver Valley 1,100
3,12/31/2009,Beaver Valley 2,100
4,12/31/2009,Braidwood 1,100
5,12/31/2009,Braidwood 2,100
6,12/31/2009,Browns Ferry 1,70
7,12/31/2009,Browns Ferry 2,100
8,12/31/2009,Browns Ferry 3,100
9,12/31/2009,Brunswick 1,100
10,12/31/2009,Brunswick 2,100
11,12/31/2009,Byron 1,100
12,12/31/2009,Byron 2,100
13,12/31/2009,Callaway,100
14,12/31/2009,Calvert Cliffs 1,100
15,12/31/2009,Calvert Cliffs 2,100
16,12/31/2009,Catawba 1,100
17,12/31/2009,Catawba 2,100
18,12/31/2009,Clinton,90
19,12/31/2009,Columbia Generating Station,100
20,12/31/2009,Comanche Peak 1,100
21,12/31/2009,Comanche Peak 2,100
22,12/31/2009,Cooper,100
23,12/31/2009,Crystal River 3,0
24,12/31/2009,D.C. Cook 1,100
25,12/31/2009,D.C. Cook 2,100
26,12/31/2009,Davis-Besse,100
27,12/31/2009,Diablo Canyon 1,100
28,12/31/2009,Diablo Canyon 2,100
29,12/31/2009,Dresden 2,99
30,12/31/2009,Dresden 3,99
31,12/31/2009,Duane Arnold,100
32,12/31/2009,Farley 1,100
33,12/31/2009,Farley 2,100
34,12/31/2009,Fermi 2,100
35,12/31/2009,FitzPatrick,100
36,12/31/2009,Fort Calhoun,100
37,12/31/2009,Ginna,0
38,12/31/2009,Grand Gulf 1,100
39,12/31/2009,Harris 1,100
40,12/31/2009,Hatch 1,100
41,12/31/2009,Hatch 2,100
42,12/31/2009,Hope Creek 1,100
43,12/31/2009,Indian Point 2,100
44,12/31/2009,Indian Point 3,100
45,12/31/2009,Kewaunee,100
46,12/31/2009,La Salle 1,100
47,12/31/2009,La Salle 2,100
48,12/31/2009,Limerick 1,100
49,12/31/2009,Limerick 2,100
50,12/31/2009,McGuire 1,100
51,12/31/2009,McGuire 2,100
52,12/31/2009,Millstone 2,100
53,12/31/2009,Millstone 3,0
54,12/31/2009,Monticello,100
55,12/31/2009,Nine Mile Point 1,100
56,12/31/2009,Nine Mile Point 2,100
57,12/31/2009,North Anna 1,100
58,12/31/2009,North Anna 2,100
59,12/31/2009,Oconee 1,100
60,12/31/2009,Oconee 2,100
61,12/31/2009,Oconee 3,100
62,12/31/2009,Oyster Creek,100
63,12/31/2009,Palisades,100
64,12/31/2009,Palo Verde 1,100
65,12/31/2009,Palo Verde 2,100
66,12/31/2009,Palo Verde 3,100
67,12/31/2009,Peach Bottom 2,100
68,12/31/2009,Peach Bottom 3,100
69,12/31/2009,Perry 1,100
70,12/31/2009,Pilgrim 1,100
71,12/31/2009,Point Beach 1,100
72,12/31/2009,Point Beach 2,100
73,12/31/2009,Prairie Island 1,100
74,12/31/2009,Prairie Island 2,100
75,12/31/2009,Quad Cities 1,100
76,12/31/2009,Quad Cities 2,100
77,12/31/2009,River Bend 1,100
78,12/31/2009,Robinson 2,100
79,12/31/2009,Saint Lucie 1,100
80,12/31/2009,Saint Lucie 2,100
81,12/31/2009,Salem 1,100
82,12/31/2009,Salem 2,100
83,12/31/2009,San Onofre 2,0
84,12/31/2009,San Onofre 3,99
85,12/31/2009,Seabrook 1,100
86,12/31/2009,Sequoyah 1,100
87,12/31/2009,Sequoyah 2,100
88,12/31/2009,South Texas 1,100
89,12/31/2009,South Texas 2,100
90,12/31/2009,Summer,100
91,12/31/2009,Surry 1,100
92,12/31/2009,Surry 2,100
93,12/31/2009,Susquehanna 1,94
94,12/31/2009,Susquehanna 2,94
95,12/31/2009,Three Mile Island 1,0
96,12/31/2009,Turkey Point 3,100
97,12/31/2009,Turkey Point 4,100
98,12/31/2009,Vermont Yankee,100
99,12/31/2009,Vogtle 1,100
100,12/31/2009,Vogtle 2,100
101,12/31/2009,Waterford 3,100
102,12/31/2009,Watts Bar 1,100
103,12/31/2009,Wolf Creek 1,100
104,12/30/2009,Arkansas Nuclear 1,100
105,12/30/2009,Arkansas Nuclear 2,100
106,12/30/2009,Beaver Valley 1,100
107,12/30/2009,Beaver Valley 2,100
108,12/30/2009,Braidwood 1,100
109,12/30/2009,Braidwood 2,100
110,12/30/2009,Browns Ferry 1,70
111,12/30/2009,Browns Ferry 2,100
112,12/30/2009,Browns Ferry 3,100
113,12/30/2009,Brunswick 1,100
114,12/30/2009,Brunswick 2,100
115,12/30/2009,Byron 1,100
116,12/30/2009,Byron 2,100
117,12/30/2009,Callaway,100
118,12/30/2009,Calvert Cliffs 1,100
119,12/30/2009,Calvert Cliffs 2,100
120,12/30/2009,Catawba 1,100
121,12/30/2009,Catawba 2,100
122,12/30/2009,Clinton,91
123,12/30/2009,Columbia Generating Station,100
124,12/30/2009,Comanche Peak 1,100
125,12/30/2009,Comanche Peak 2,100
126,12/30/2009,Cooper,100
127,12/30/2009,Crystal River 3,0
128,12/30/2009,D.C. Cook 1,100
129,12/30/2009,D.C. Cook 2,100
130,12/30/2009,Davis-Besse,100
131,12/30/2009,Diablo Canyon 1,100
132,12/30/2009,Diablo Canyon 2,100
